,Code,Movie,Audience,Screen,genres,year,month,AgeRate
82,19970037,비트,1.537,5,액션,2015,10,18세이상관람가
83,20180804,곤지암,2676.423,3,공포(호러),2015,10,청소년관람가
84,20185484,안나 카레니나,5.073,5,뮤지컬,2015,10,청소년관람가
85,20174981,창궐,1599.61,1,사극,2015,10,청소년관람가
86,20180939,남산의 부장들,4750.078,3,드라마,2015,10,청소년관람가
87,20206081,유관순과 8호감방 ,0.01,1,기타,2015,10,청소년관람가
88,20183002,해치지않아,1224.546,6,코미디,2015,10,청소년관람가
89,20184571,천문: 하늘에 묻는다,2000.393,4,사극,2015,10,청소년관람가
90,20191029,82년생 김지영,3678.292,1,드라마,2015,10,청소년관람가
91,20195002,블랙머니,2479.464,5,범죄,2015,10,청소년관람가
92,20187322,"힘을 내요, 미스터 리",1181.96,5,코미디,2015,10,청소년관람가
93,20194045,극장판 반지의 비밀일기,68.339,4,애니메이션,2015,10,전체관람가
94,20184483,퍼펙트맨,1240.022,4,코미디,2015,10,청소년관람가
95,20190385,웃는남자 감독판,12.82,1,공연,2015,10,전체관람가
96,20188462,감쪽같은 그녀,469.015,7,드라마,2015,10,전체관람가
97,20193601,장사리 : 잊혀진 영웅들,1140.708,3,전쟁,2015,10,청소년관람가
98,20185161,나를 찾아줘,642.367,101,스릴러,2015,10,청소년관람가
99,20176251,내안의 그놈,1917.999,1,판타지,2015,10,청소년관람가
100,20184621,엑시트,9425.492,2,코미디,2015,10,청소년관람가
101,20194621,아직 사랑하고 있습니까?,1.216,34,코미디,2015,10,18세이상관람가
102,20181434,신의 한 수: 귀수편,2155.013,10,범죄,2015,10,청소년관람가
103,20184341,얼굴없는 보스,23.451,16,액션,2015,10,청소년관람가
104,20199435,몬테크리스토,1.661,9,뮤지컬,2015,10,청소년관람가
105,20184462,봉오동 전투,4784.703,2,사극,2015,10,청소년관람가
106,20195920,가장 보통의 연애,2923.009,13,멜로/로맨스,2015,10,청소년관람가
107,20140703,장수상회,1166.729,1,멜로/로맨스,2015,10,청소년관람가
108,20174142,아이 캔 스피크,3283.073,3,코미디,2015,10,청소년관람가
109,20188750,나쁜 녀석들: 더 무비,4573.353,3,범죄,2015,10,청소년관람가
110,20185361,두번할까요,175.567,7,코미디,2015,10,청소년관람가
111,20184105,말모이,2866.453,1,드라마,2015,10,청소년관람가
112,20030003,클래식,15.24,19,드라마,2015,10,전체관람가
113,20110279,마당을 나온 암탉,2204.374,28,애니메이션,2015,10,전체관람가
114,20186707,오늘도 위위,1.114,40,드라마,2015,10,전체관람가
115,20194456,양자물리학,552.187,33,범죄,2015,10,청소년관람가
116,20185784,나의 특별한 형제,1476.777,1,드라마,2015,10,청소년관람가
117,20184572,타짜: 원 아이드 잭,2227.543,69,범죄,2015,10,18세이상관람가
118,20184543,변신,1803.112,5,공포(호러),2015,10,청소년관람가
119,20182585,비스트,203.042,5,범죄,2015,10,청소년관람가
120,20181416,유열의 음악앨범,1240.975,105,멜로/로맨스,2015,10,청소년관람가
121,20185985,광대들: 풍문조작단,632.384,199,사극,2015,10,청소년관람가
122,20020061,집으로...,4.975,51,드라마,2015,10,전체관람가
123,20182490,나랏말싸미,954.88,3,사극,2015,10,전체관람가
124,20193642,캐리tv 러브콘서트 더 무비,29.091,22,공연,2015,10,전체관람가
125,20188404,암전,101.366,36,미스터리,2015,10,청소년관람가
126,20180442,사자,1602.046,213,미스터리,2015,10,청소년관람가
127,20194044,공포체험단 곤지암편,3.282,11,공포(호러),2015,10,청소년관람가
128,20185353,기방도령,284.283,5,코미디,2015,10,청소년관람가
129,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15.703,6,애니메이션,2015,10,전체관람가
130,20185986,진범,166.838,38,스릴러,2015,10,청소년관람가
131,20198453,롱 리브 더 킹: 목포 영웅,1092.611,7,액션,2015,10,청소년관람가
132,20188941,악인전,3364.1,6,범죄,2015,10,18세이상관람가
133,20124079,"광해, 왕이 된 남자",12323.988,1,사극,2015,10,청소년관람가
134,20187981,배심원들,287.902,1,드라마,2015,10,청소년관람가
135,20122783,감시자들,5509.019,1,범죄,2015,10,청소년관람가
136,20180361,귀신의 향기,0.543,17,공포(호러),2015,10,청소년관람가
137,20184082,걸캅스,1627.524,9,코미디,2015,10,청소년관람가
138,20199448,어린 의뢰인,199.375,6,드라마,2015,10,청소년관람가
139,20151229,더 킹,5317.959,1,범죄,2015,10,청소년관람가
140,20188144,0.0MHz,136.939,26,공포(호러),2015,10,청소년관람가
141,20191744,노리개: 그녀의 눈물,2.287,50,드라마,2015,10,청소년관람가
142,20198982,크게 될 놈,102.374,2,드라마,2015,10,청소년관람가
143,20090248,마더,2980.954,7,드라마,2015,10,18세이상관람가
144,20180825,미성년,292.14,8,드라마,2015,10,청소년관람가
145,20175547,스윙키즈,1472.702,38,드라마,2015,10,청소년관람가
146,20182501,왓칭,55.083,6,공포(호러),2015,10,청소년관람가
147,20142406,탐정 홍길동: 사라진 마을,1430.96,1,드라마,2015,10,청소년관람가
148,20137048,국제시장,14262.976,1,드라마,2015,10,청소년관람가
149,20176103,돈,3388.756,20,범죄,2015,10,청소년관람가
150,20175407,우상,183.744,2,스릴러,2015,10,청소년관람가
151,20156564,부산행,11567.318,14,액션,2015,10,청소년관람가
152,20177552,국가부도의 날,3755.133,1,드라마,2015,10,청소년관람가
153,20197846,악질경찰,260.989,13,범죄,2015,10,18세이상관람가
154,20166301,썬키스 패밀리,31.283,20,가족,2015,10,청소년관람가
155,20177539,사바하,2398.348,5,미스터리,2015,10,청소년관람가
156,20186324,언더독,193.837,4,애니메이션,2015,10,전체관람가
157,20176442,자전차왕 엄복동,168.884,68,드라마,2015,10,청소년관람가
158,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574.302,12,애니메이션,2015,10,전체관람가
159,20174169,기묘한 가족,262.92,9,코미디,2015,10,청소년관람가
160,20186202,신과함께-인과 연,12276.115,2,판타지,2015,10,청소년관람가
161,19970033,낮은 목소리 2,0.119,1,다큐멘터리,2015,10,청소년관람가
162,20166602,그대 이름은 장미,86.838,2,코미디,2015,10,청소년관람가
163,20180868,뺑반,1826.154,9,범죄,2015,10,청소년관람가
164,20101003,혈투,44.462,1,액션,2015,10,청소년관람가
165,20185124,러브 유어셀프 인 서울,342.366,48,공연,2015,10,전체관람가
166,20183915,극장판 공룡메카드: 타이니소어의 섬,408.822,17,애니메이션,2015,10,전체관람가
167,20170658,PMC: 더 벙커,1670.859,5,액션,2015,10,청소년관람가
168,20183785,점박이 한반도의 공룡2 : 새로운 낙원,548.661,10,애니메이션,2015,10,전체관람가
169,20184187,언니,197.211,94,액션,2015,10,18세이상관람가
170,20168773,마약왕,1863.283,10,범죄,2015,10,18세이상관람가
171,20179230,도어락,1560.352,5,스릴러,2015,10,청소년관람가
172,20177538,완벽한 타인,5292.712,29,드라마,2015,10,청소년관람가
