Code,Movie,Audience,Open,Screen,watchGradeNm,genres
20182447,클로젯,1270288,2020-02-05,7,15세이상관람가,미스터리
20198414,시동,3318429,2019-12-18,4,15세이상관람가,드라마
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894356,2019-12-19,2,전체관람가,애니메이션
20192206,백두산,8252669,2019-12-19,1,12세이상관람가,어드벤처
20192101,히트맨,2406232,2020-01-22,2,15세이상관람가,코미디
20192984,극장판 미니특공대: 공룡왕 디노 ,79723,2020-02-06,3,전체관람가,애니메이션
20191422,공수도,2795,2020-04-09,13,15세이상관람가,액션
20183096,생일,1197685,2019-04-03,13,전체관람가,드라마
20149314,내부자들,7073543,2015-11-19,2,청소년관람불가,범죄
20100213,부당거래,2725699,2010-10-28,10,청소년관람불가,범죄
20206424,사랑하고 있습니까,12820,2020-03-25,13,12세이상관람가,판타지
19970037,비트,1537,1997-05-03,5,연소자관람불가,액션
20180804,곤지암,2676423,2018-03-28,3,15세이상관람가,공포(호러)
20185484,안나 카레니나,5073,2018-06-29,5,12세이상관람가,뮤지컬
20174981,창궐,1599610,2018-10-25,1,15세이상관람가,사극
20180939,남산의 부장들,4750078,2020-01-22,3,15세이상관람가,드라마
20206081,유관순과 8호감방 ,10, ,1,12세이상관람가,기타
20183002,해치지않아,1224546,2020-01-15,6,12세이상관람가,코미디
20184571,천문: 하늘에 묻는다,2000393,2019-12-26,4,12세이상관람가,사극
20191029,82년생 김지영,3678292,2019-10-23,1,12세이상관람가,드라마
20195002,블랙머니,2479464,2019-11-13,5,12세이상관람가,범죄
20187322,"힘을 내요, 미스터 리",1181960,2019-09-11,5,12세이상관람가,코미디
20194045,극장판 반지의 비밀일기,68339,2019-09-11,4,전체관람가,애니메이션
20184483,퍼펙트맨,1240022,2019-10-02,4,15세이상관람가,코미디
20190385,웃는남자 감독판,12820,2019-11-29,1,전체관람가,공연
20188462,감쪽같은 그녀,469015,2019-12-04,7,전체관람가,드라마
20193601,장사리 : 잊혀진 영웅들,1140708,2019-09-25,3,12세이상관람가,전쟁
20185161,나를 찾아줘,642367,2019-11-27,101,15세이상관람가,스릴러
20176251,내안의 그놈,1917999,2019-01-09,1,15세이상관람가,판타지
20184621,엑시트,9425492,2019-07-31,2,12세이상관람가,코미디
20194621,아직 사랑하고 있습니까?,1216,2019-12-04,34,청소년관람불가,코미디
20181434,신의 한 수: 귀수편,2155013,2019-11-07,10,15세이상관람가,범죄
20184341,얼굴없는 보스,23451,2019-11-21,16,15세이상관람가,액션
20199435,몬테크리스토,1661,2019-11-14,9,12세이상관람가,뮤지컬
20184462,봉오동 전투,4784703,2019-08-07,2,15세이상관람가,사극
20195920,가장 보통의 연애,2923009,2019-10-02,13,15세이상관람가,멜로/로맨스
20140703,장수상회,1166729,2015-04-09,1,12세이상관람가,멜로/로맨스
20174142,아이 캔 스피크,3283073,2017-09-21,3,12세이상관람가,코미디
20188750,나쁜 녀석들: 더 무비,4573353,2019-09-11,3,15세이상관람가,범죄
20185361,두번할까요,175567,2019-10-17,7,15세이상관람가,코미디
20184105,말모이,2866453,2019-01-09,1,12세이상관람가,드라마
20030003,클래식,15240,2003-01-30,19,12세관람가,드라마
20110279,마당을 나온 암탉,2204374,2011-07-28,28,전체관람가,애니메이션
20186707,오늘도 위위,1114,2019-10-17,40,전체관람가,드라마
20194456,양자물리학,552187,2019-09-25,33,15세이상관람가,범죄
20185784,나의 특별한 형제,1476777,2019-05-01,1,12세이상관람가,드라마
20184572,타짜: 원 아이드 잭,2227543,2019-09-11,69,청소년관람불가,범죄
20184543,변신,1803112,2019-08-21,5,15세이상관람가,공포(호러)
20182585,비스트,203042,2019-06-26,5,15세이상관람가,범죄
20181416,유열의 음악앨범,1240975,2019-08-28,105,12세이상관람가,멜로/로맨스
20185985,광대들: 풍문조작단,632384,2019-08-21,199,12세이상관람가,사극
20020061,집으로...,4975,2002-04-04,51,전체관람가,드라마
20182490,나랏말싸미,954880,2019-07-24,3,전체관람가,사극
20193642,캐리tv 러브콘서트 더 무비,29091,2019-08-07,22,전체관람가,공연
20188404,암전,101366,2019-08-15,36,15세이상관람가,미스터리
20180442,사자,1602046,2019-07-31,213,15세이상관람가,미스터리
20194044,공포체험단 곤지암편,3282,2019-07-19,11,15세이상관람가,공포(호러)
20185353,기방도령,284283,2019-07-10,5,15세이상관람가,코미디
20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15703,2019-07-18,6,전체관람가,애니메이션
20185986,진범,166838,2019-07-10,38,15세이상관람가,스릴러
20198453,롱 리브 더 킹: 목포 영웅,1092611,2019-06-19,7,15세이상관람가,액션
