Code,Movie,Audience,Open,Screen,watchGradeNm,genres
20188941,악인전,3364100,2019-05-15,6,청소년관람불가,범죄
20124079,"광해, 왕이 된 남자",12323988,2012-09-13,1,15세이상관람가,사극
20187981,배심원들,287902,2019-05-15,1,12세이상관람가,드라마
20122783,감시자들,5509019,2013-07-03,1,15세이상관람가,범죄
20180361,귀신의 향기,543,2019-07-03,17,15세이상관람가,공포(호러)
20184082,걸캅스,1627524,2019-05-09,9,15세이상관람가,코미디
20199448,어린 의뢰인,199375,2019-05-22,6,12세이상관람가,드라마
20151229,더 킹,5317959,2017-01-18,1,15세이상관람가,범죄
20188144,0.0MHz,136939,2019-05-29,26,15세이상관람가,공포(호러)
20191744,노리개: 그녀의 눈물,2287,2019-06-13,50,15세이상관람가,드라마
20198982,크게 될 놈,102374,2019-04-18,2,15세이상관람가,드라마
20090248,마더,2980954,2009-05-28,7,청소년관람불가,드라마
20180825,미성년,292140,2019-04-11,8,15세이상관람가,드라마
20175547,스윙키즈,1472702,2018-12-19,38,12세이상관람가,드라마
20182501,왓칭,55083,2019-04-17,6,15세이상관람가,공포(호러)
20142406,탐정 홍길동: 사라진 마을,1430960,2016-05-04,1,15세이상관람가,드라마
20137048,국제시장,14262976,2014-12-17,1,12세이상관람가,드라마
20176103,돈,3388756,2019-03-20,20,15세이상관람가,범죄
20175407,우상,183744,2019-03-20,2,15세이상관람가,스릴러
20156564,부산행,11567318,2016-07-20,14,15세이상관람가,액션
20177552,국가부도의 날,3755133,2018-11-28,1,12세이상관람가,드라마
20197846,악질경찰,260989,2019-03-20,13,청소년관람불가,범죄
20166301,썬키스 패밀리,31283,2019-03-27,20,15세이상관람가,가족
20177539,사바하,2398348,2019-02-20,5,15세이상관람가,미스터리
20186324,언더독,193837,2019-01-16,4,전체관람가,애니메이션
20176442,자전차왕 엄복동,168884,2019-02-27,68,12세이상관람가,드라마
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574302,2019-01-31,12,전체관람가,애니메이션
20174169,기묘한 가족,262920,2019-02-13,9,12세이상관람가,코미디
20186202,신과함께-인과 연,12276115,2018-08-01,2,12세이상관람가,판타지
19970033,낮은 목소리 2,119,1997-08-22,1,연소자관람가,다큐멘터리
20166602,그대 이름은 장미,86838,2019-01-16,2,12세이상관람가,코미디
20180868,뺑반,1826154,2019-01-30,9,15세이상관람가,범죄
20101003,혈투,44462,2011-02-24,1,15세이상관람가,액션
20185124,러브 유어셀프 인 서울,342366,2019-01-26,48,전체관람가,공연
20183915,극장판 공룡메카드: 타이니소어의 섬,408822,2019-01-10,17,전체관람가,애니메이션
20170658,PMC: 더 벙커,1670859,2018-12-26,5,15세이상관람가,액션
20183785,점박이 한반도의 공룡2 : 새로운 낙원,548661,2018-12-25,10,전체관람가,애니메이션
20184187,언니,197211,2019-01-01,94,청소년관람불가,액션
20168773,마약왕,1863283,2018-12-19,10,청소년관람불가,범죄
20179230,도어락,1560352,2018-12-05,5,15세이상관람가,스릴러
20177538,완벽한 타인,5292712,2018-10-31,29,15세이상관람가,드라마
20183745,런닝맨 : 풀룰루의 역습,186064,2018-12-05,36,전체관람가,애니메이션
20183650,번개맨의 비밀,49367,2018-12-06,113,전체관람가,가족
20184481,성난황소,1590591,2018-11-22,98,15세이상관람가,범죄
20184529,트와이스랜드,17823,2018-12-07,10,전체관람가,다큐멘터리
20182981,리벤져,2322,2018-12-06,45,15세이상관람가,액션
20183050,번 더 스테이지: 더 무비,312584,2018-11-15,57,전체관람가,기타
20181561,덕구,315164,2018-04-05,4,전체관람가,드라마
20189869,해피 투게더,24827,2018-11-15,5,12세이상관람가,드라마
20173202,버닝,528372,2018-05-17,1,청소년관람불가,미스터리
20170513,동네사람들,459918,2018-11-07,28,15세이상관람가,액션
20176122,안시성,5439308,2018-09-19,1,12세이상관람가,사극
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40892,2018-09-20,3,전체관람가,애니메이션
20179006,여곡성,66455,2018-11-08,40,15세이상관람가,공포(호러)
20101125,로맨스그레이,1115, ,1,12세이상관람가,드라마
20189067,미쓰백,721183,2018-10-11,6,15세이상관람가,드라마
20179189,암수살인,3786412,2018-10-03,63,15세이상관람가,범죄
20020106,복수는 나의 것,1918,2002-03-28,8,18세관람가,범죄
20050148,친절한 금자씨,3121204,2005-07-29,9,18세관람가,스릴러
20177308,협상,1967721,2018-09-19,4,15세이상관람가,범죄
20172469,허스토리,335540,2018-06-27,2,12세이상관람가,드라마
19760096,금욕,285,1976-03-13,1,12세이상관람가,드라마
20184678,배반의 장미,40208,2018-10-18,57,15세이상관람가,코미디
20179101,공작,4974340,2018-08-08,1,12세이상관람가,드라마
20172204,명당,2084319,2018-09-19,4,12세이상관람가,사극
20167903,원더풀 고스트,448316,2018-09-26,9,12세이상관람가,코미디
20153446,너의 결혼식,2820486,2018-08-22,7,12세이상관람가,멜로/로맨스
20177537,상류사회,767589,2018-08-29,5,청소년관람불가,드라마
20156554,물괴,719968,2018-09-12,90,15세이상관람가,액션
20170670,목격자,2522729,2018-08-15,64,15세이상관람가,스릴러
20188501,미친도시,1992,2018-08-30,2,15세이상관람가,드라마
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677788,2018-07-25,6,전체관람가,애니메이션
20179383,독전,5063620,2018-05-22,1,15세이상관람가,범죄
20170942,인랑,897255,2018-07-25,5,15세이상관람가,SF
20185341,마녀,3188969,2018-06-27,1,15세이상관람가,미스터리
20178161,탐정: 리턴즈,3152568,2018-06-13,5,15세이상관람가,코미디
20174369,변산,489619,2018-07-04,3,15세이상관람가,드라마
20162442,청년경찰,5653444,2017-08-09,1,15세이상관람가,액션
20188042,독전: 익스텐디드 컷,136885,2018-07-18,53,15세이상관람가,범죄
20187682,해적왕 작스톰,4434,2018-07-25,63,전체관람가,애니메이션
20180282,속닥속닥,217326,2018-07-13,10,15세이상관람가,공포(호러)
20184101,여중생A,96893,2018-06-20,12,12세이상관람가,드라마
20170669,지금 만나러 갑니다,2601857,2018-03-14,15,12세이상관람가,멜로/로맨스
20159647,리얼,470135,2017-06-28,1,청소년관람불가,액션
20186926,게이트-완결판,771,2018-06-21,5,15세이상관람가,범죄
20177005,레슬러,770631,2018-05-09,6,15세이상관람가,드라마
20189783,챔피언,1128693,2018-05-01,1,12세이상관람가,드라마
20100510,자유부인,2278,1956-06-09,1,청소년관람불가,드라마
20181366,미니특공대X,99971,2018-03-22,1,전체관람가,애니메이션
20173865,데자뷰,48134,2018-05-30,19,15세이상관람가,미스터리
20162869,택시운전사,12189025,2017-08-02,2,15세이상관람가,드라마
20151230,원라인,435090,2017-03-29,1,15세이상관람가,범죄
20177266,나를 기억해,140700,2018-04-19,2,청소년관람불가,미스터리
20174602,노무현입니다,1855489,2017-05-25,1,12세이상관람가,다큐멘터리
20182221,스파키,35432,2018-04-12,1,전체관람가,애니메이션
20153447,바람 바람 바람,1194157,2018-04-05,6,청소년관람불가,코미디
20182021,번개맨과 신비의 섬,60535,2018-04-05,9,전체관람가,가족
20175046,파파 오랑후탄,1447,2018-04-19,3,12세이상관람가,다큐멘터리
20165045,머니백,53516,2018-04-12,5,15세이상관람가,액션
20150976,신과함께-죄와 벌,14410754,2017-12-20,1,12세이상관람가,판타지
20154908,7년의 밤,526880,2018-03-28,12,15세이상관람가,스릴러
20168323,염력,990102,2018-01-31,18,15세이상관람가,드라마
20150969,궁합,1339680,2018-02-28,1,12세이상관람가,코미디
20178781,사라진 밤,1314308,2018-03-07,126,15세이상관람가,스릴러
20172244,치즈인더트랩,228413,2018-03-14,62,15세이상관람가,멜로/로맨스
20189525,젝스키스 에이틴,50038,2018-01-18,3,전체관람가,다큐멘터리
20189663,게이트,99731,2018-02-28,20,15세이상관람가,범죄
20168250,골든슬럼버,1386882,2018-02-14,13,15세이상관람가,범죄
20177473,비밥바룰라,45779,2018-01-24,1,12세이상관람가,코미디
20176121,흥부: 글로 세상을 바꾼 자,416137,2018-02-14,7,12세이상관람가,사극
20179205,조선명탐정: 흡혈괴마의 비밀,2443282,2018-02-08,8,12세이상관람가,사극
20181741,예스 평창!,595,2018-03-08,1,전체관람가,다큐멘터리
20176104,그것만이 내 세상,3415953,2018-01-17,4,12세이상관람가,코미디
20170590,1987,7229281,2017-12-27,62,15세이상관람가,드라마
20189761,터닝메카드W: 반다인의 비밀 특별판,21220,2018-02-08,30,전체관람가,애니메이션
20174846,뽀로로 극장판 공룡섬 대모험,826003,2017-12-07,2,전체관람가,애니메이션
20168161,1급기밀,217956,2018-01-24,20,12세이상관람가,드라마
20161681,미옥,239987,2017-11-09,3,청소년관람불가,범죄
20170402,강철비,4449854,2017-12-14,37,15세이상관람가,액션
20175830,돌아와요 부산항애(愛),5824,2018-01-17,82,15세이상관람가,범죄
20172742,범죄도시,6880351,2017-10-03,10,청소년관람불가,범죄
20173581,기억의 밤,1387499,2017-11-29,6,15세이상관람가,미스터리
20010047,번지점프를 하다,4055,2001-02-02,1,15세관람가,드라마
20176769,광인옥한흠,2681,2017-12-28,5,전체관람가,다큐멘터리
20165748,꾼,4018035,2017-11-22,5,15세이상관람가,범죄
20175441,채비,177428,2017-11-09,1,12세이상관람가,드라마
20138712,꼭두각시,32628,2013-06-20,1,청소년관람불가,공포(호러)
20161762,반드시 잡는다,446764,2017-11-29,3,15세이상관람가,스릴러
20168754,7호실,346986,2017-11-15,5,15세이상관람가,코미디
20172603,부라더,1492049,2017-11-02,8,12세이상관람가,코미디
20175208,뷰티풀 투모로우,62650,2017-10-26,1,12세이상관람가,드라마
20173903,역모-반란의 시대,21657,2017-11-23,355,15세이상관람가,사극
20171817,넛잡 2,410569,2017-10-03,5,전체관람가,애니메이션
20169643,침묵,493673,2017-11-02,8,15세이상관람가,드라마
20165450,남한산성,3846769,2017-10-03,20,15세이상관람가,사극
20171885,노트르담 드 파리,4974,2017-11-01,33,전체관람가,뮤지컬
20164424,대장 김창수,377071,2017-10-19,51,12세이상관람가,드라마
20154907,희생부활자,322207,2017-10-12,19,15세이상관람가,미스터리
20154909,살인자의 기억법,2657557,2017-09-06,20,15세이상관람가,범죄
20151227,아빠는 딸,647305,2017-04-12,2,12세이상관람가,코미디
20150964,조작된 도시,2515315,2017-02-09,1,15세이상관람가,범죄
20151003,장산범,1306387,2017-08-17,5,15세이상관람가,미스터리
20172964,이웃집 스타,10747,2017-09-21,1,12세이상관람가,코미디
20164174,브이아이피,1373298,2017-08-23,2,청소년관람불가,범죄
20161481,군함도,6591193,2017-07-26,6,15세이상관람가,액션
20179407,로마의 휴일,134577,2017-08-30,5,15세이상관람가,코미디
20124074,건축학개론,4112496,2012-03-22,1,12세이상관람가,멜로/로맨스
20173826,구세주: 리턴즈,4052,2017-09-14,121,15세이상관람가,코미디
19760017,진짜 진짜 잊지마,207,1976-02-14,1,12세이상관람가,드라마
20165042,빅뱅 메이드,56200,2016-06-30,1,12세이상관람가,다큐멘터리
20000044,공동경비구역 JSA,1089,2000-09-08,1,15세관람가,드라마
20080697,안녕하세요 하나님,199,1987-12-24,1,연소자관람가,드라마
20162343,악녀,1207119,2017-06-08,40,청소년관람불가,액션
20100511,지옥화,3448,1958-04-20,1,미정,멜로/로맨스
20166384,하루,1129233,2017-06-15,4,15세이상관람가,스릴러
20169348,대립군,837310,2017-05-31,3,15세이상관람가,드라마
20162722,보안관,2587648,2017-05-03,2,15세이상관람가,범죄
19560023,격퇴,401,1956-04-04,1,12세이상관람가,전쟁
20175581,파워배틀 와치카: 와치가면의 역습,23136,2017-06-01,2,전체관람가,애니메이션
20177223,청춘 합창단 - 또 하나의 꿈,5041,2017-06-15,38,전체관람가,다큐멘터리
20156708,석조저택 살인사건,351342,2017-05-09,7,15세이상관람가,스릴러
20162871,특별시민,1362434,2017-04-26,6,15세이상관람가,드라마
20161726,임금님의 사건수첩,1634038,2017-04-26,5,12세이상관람가,코미디
20144444,아가씨,4288530,2016-06-01,1,청소년관람불가,스릴러
19550028,미망인,1195,1955-12-10,1,청소년관람불가,드라마
20173061,슈퍼 빼꼼: 스파이 대작전,98020,2017-05-03,10,전체관람가,애니메이션
20174165,극장판 또봇: 로봇군단의 습격,141573,2017-04-27,4,전체관람가,애니메이션
20162181,프리즌,2931897,2017-03-23,5,청소년관람불가,범죄
19800040,미워도 다시 한번 '80,2141,1980-06-21,1,국민학생관람불가,드라마
20167901,어느날,234586,2017-04-05,5,15세이상관람가,멜로/로맨스
20080893,렌의 애가,1650,1969-01-01,1,15세이상관람가,드라마
20161923,시간위의 집,128764,2017-04-05,14,15세이상관람가,미스터리
20166421,재심,2420977,2017-02-15,2,15세이상관람가,드라마
20139183,역린,3849700,2014-04-30,1,15세이상관람가,사극
20150971,해빙,1204384,2017-03-01,4,15세이상관람가,스릴러
20162381,일사각오,94825,2016-03-17,1,12세이상관람가,드라마
20159657,최강전사 미니특공대: 영웅의 탄생,117291,2016-02-04,1,전체관람가,애니메이션
20167902,보통사람,382202,2017-03-23,50,15세이상관람가,드라마
20144257,안녕 자두야 스페셜 : 인어공주 ,272, ,1,전체관람가,애니메이션
20161723,싱글라이더,351276,2017-02-22,1,15세이상관람가,드라마
20172401,왕을 참하라,4188,2017-03-16,1,청소년관람불가,드라마
20167905,비정규직 특수요원,146802,2017-03-16,102,15세이상관람가,코미디
20168668,레이디버그,40989,2017-02-22,17,전체관람가,애니메이션
20144641,판도라,4583645,2016-12-07,1,12세이상관람가,드라마
20156562,루시드 드림,102047,2017-02-22,2,15세이상관람가,SF
19700035,미워도 다시 한번 3,1988,1970-01-01,1,12세이상관람가,드라마
20151228,공조,7816521,2017-01-18,34,15세이상관람가,액션
20161366,"그래, 가족",46378,2017-02-15,5,12세이상관람가,코미디
19660041,물레방아,648,1966-11-10,1,12세이상관람가,멜로/로맨스
19730023,흑권,592,1973-09-09,1,12세이상관람가,액션
20161725,마스터,7150142,2016-12-21,5,15세이상관람가,액션
20145503,검은 사제들,5442915,2015-11-05,1,15세이상관람가,미스터리
20150966,사랑하기 때문에,340766,2017-01-04,4,12세이상관람가,코미디
20152371,"당신, 거기 있어줄래요",1168597,2016-12-14,5,12세이상관람가,판타지
19880070,칠수와 만수,321,1988-11-26,1,고등학생이상관람가,드라마
20154661,형,2980397,2016-11-23,1,12세이상관람가,코미디
20155223,목숨 건 연애,47805,2016-12-14,6,15세이상관람가,멜로/로맨스
20153741,미씽: 사라진 여자,1153109,2016-11-30,1,15세이상관람가,미스터리
19820019,만추,849371,2011-02-17,1,15세이상관람가,멜로/로맨스
20154905,가려진 시간,510728,2016-11-16,5,12세이상관람가,드라마
20140704,비밀은 없다,250829,2016-06-23,1,청소년관람불가,스릴러
20123501,군도: 민란의 시대,4775811,2014-07-23,1,15세이상관람가,사극
20150979,덕혜옹주,5599229,2016-08-03,2,12세이상관람가,사극
20151022,걷기왕,95393,2016-10-20,1,12세이상관람가,드라마
20160472,두 남자,59788,2016-11-30,23,청소년관람불가,범죄
20153444,럭키,6974991,2016-10-13,1,15세이상관람가,코미디
20163521,스플릿,757863,2016-11-09,4,15세이상관람가,드라마
20156250,인천상륙작전,7049537,2016-07-27,1,12세이상관람가,전쟁
20153443,아수라,2594028,2016-09-28,2,청소년관람불가,범죄
19910067,천국의 계단,297,1992-02-15,1,고등학생이상관람가,드라마
20124050,화차,2436810,2012-03-08,1,15세이상관람가,미스터리
20163107,아더왕의 전설,847,2016-11-09,2,전체관람가,공연
20150564,혼숨,286147,2016-10-26,73,15세이상관람가,공포(호러)
20150566,극장판 꼬마버스 타요의 에이스 구출작전,134658,2016-01-21,4,전체관람가,애니메이션
20166541,달빛궁궐,152634,2016-09-07,4,전체관람가,애니메이션
20112212,만추,1239,1982-02-28,1,연소자관람불가,드라마
20159646,밀정,7499738,2016-09-07,3,15세이상관람가,액션
20159648,"고산자, 대동여지도",973951,2016-09-07,1,전체관람가,사극
20162704,극장판 안녕 자두야,280197,2016-05-04,1,전체관람가,애니메이션
20162022,대결,32278,2016-09-22,2,15세이상관람가,액션
20160041,인천상륙작전 : 익스텐디드 에디션(확장판),26950,2016-09-13,2,15세이상관람가,전쟁
20154910,터널,7120241,2016-08-10,17,12세이상관람가,드라마
20150968,국가대표 2,709240,2016-08-10,1,12세이상관람가,드라마
19850074,화녀촌,449,1985-11-16,1,연소자관람불가,드라마
20161961,나는 증인이다,557,2016-09-14,2,15세이상관람가,미스터리
20150901,올레,66127,2016-08-25,60,15세이상관람가,드라마
20140121,"1789, 바스티유의 연인들",4386,2014-09-18,6,전체관람가,뮤지컬
20152105,"시발, 놈: 인류의 시작",965,2016-08-18,7,15세이상관람가,코미디
20159644,봉이 김선달,2049396,2016-07-06,5,12세이상관람가,사극
20156807,뽀로로 극장판 컴퓨터 왕국 대모험,445360,2015-12-10,1,전체관람가,애니메이션
20156559,계춘할망,482259,2016-05-19,3,15세이상관람가,가족
20050216,형사 Duelist,922680,2005-09-08,1,12세관람가,멜로/로맨스
20150972,굿바이 싱글,2103766,2016-06-29,129,15세이상관람가,코미디
20050239,너는 내 운명,2701544,2005-09-23,1,18세관람가,멜로/로맨스
20140194,곡성,6879769,2016-05-12,7,15세이상관람가,미스터리
20158982,트릭,37763,2016-07-13,5,15세이상관람가,스릴러
20154906,사냥,645580,2016-06-29,27,15세이상관람가,액션
19750091,태풍을 일으킨 사나이,310,1975-11-06,1,12세이상관람가,멜로/로맨스
20159645,특별수사: 사형수의 편지,1237897,2016-06-16,138,15세이상관람가,범죄
20158483,오빠생각,1069864,2016-01-21,1,12세이상관람가,드라마
19940063,장미의 나날,237,1994-04-02,1,연소자관람불가,스릴러
20158242,무서운 이야기 3 : 화성에서 온 소녀,96662,2016-06-01,88,15세이상관람가,공포(호러)
