movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
62,63,20188421,미스터 주: 사라진 VIP,604143,2020-01-22,3,12세이상관람가,코미디,2020,1,4.66
63,64,20198323,레드슈즈,820740,2019-07-25,21,전체관람가,애니메이션,2019,7,9.29
64,65,20198183,뽀로로 극장판 보물섬 대모험,767737,2019-04-25,4,전체관람가,애니메이션,2019,4,9.29
65,66,20186501,극장판 헬로카봇 : 백악기 시대,880776,2018-08-01,4,전체관람가,애니메이션,2018,8,9.24
66,67,20208597,아르코라이브 무용 히트 앤 런,38,2020-05-06,4,전체관람가,공연,2020,5,0
67,68,20193821,극장판 헬로카봇 : 달나라를 구해줘!,590708,2019-09-04,22,전체관람가,애니메이션,2019,9,7.48
68,69,20206305,아르코라이브 뮤지컬 안테모사,908,2020-03-25,13,전체관람가,공연,2020,3,9.2
69,70,20164844,불한당: 나쁜 놈들의 세상,963239,2017-05-17,1,청소년관람불가,범죄,2017,5,5.87
70,71,20182447,클로젯,1270288,2020-02-05,7,15세이상관람가,미스터리,2020,2,7.04
71,72,20198414,시동,3318429,2019-12-18,4,15세이상관람가,드라마,2019,12,7.86
72,73,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894356,2019-12-19,2,전체관람가,애니메이션,2019,12,8.51
73,74,20192206,백두산,8252669,2019-12-19,1,12세이상관람가,어드벤처,2019,12,5.87
74,75,20192101,히트맨,2406232,2020-01-22,2,15세이상관람가,코미디,2020,1,7.18
75,76,20192984,극장판 미니특공대: 공룡왕 디노 ,79723,2020-02-06,3,전체관람가,애니메이션,2020,2,8.85
76,77,20191422,공수도,2795,2020-04-09,13,15세이상관람가,액션,2020,4,8.81
77,78,20183096,생일,1197685,2019-04-03,13,전체관람가,드라마,2019,4,7.07
78,79,20149314,내부자들,7073543,2015-11-19,2,청소년관람불가,범죄,2015,11,9.02
79,80,20100213,부당거래,2725699,2010-10-28,10,청소년관람불가,범죄,2010,10,8.68
80,81,20206424,사랑하고 있습니까,12820,2020-03-25,13,12세이상관람가,판타지,2020,3,4.83
81,82,19970037,비트,1537,1997-05-03,5,연소자관람불가,액션,1997,5,8.85
82,83,20180804,곤지암,2676423,2018-03-28,3,15세이상관람가,공포(호러),2018,3,6.77
83,84,20185484,안나 카레니나,5073,2018-06-29,5,12세이상관람가,뮤지컬,2018,6,8.5
84,85,20174981,창궐,1599610,2018-10-25,1,15세이상관람가,사극,2018,10,5.49
85,86,20180939,남산의 부장들,4750078,2020-01-22,3,15세이상관람가,드라마,2020,1,7.41
86,88,20183002,해치지않아,1224546,2020-01-15,6,12세이상관람가,코미디,2020,1,6.38
87,89,20184571,천문: 하늘에 묻는다,2000393,2019-12-26,4,12세이상관람가,사극,2019,12,8.83
88,90,20191029,82년생 김지영,3678292,2019-10-23,1,12세이상관람가,드라마,2019,10,6.63
89,91,20195002,블랙머니,2479464,2019-11-13,5,12세이상관람가,범죄,2019,11,8.52
90,92,20187322,"힘을 내요, 미스터 리",1181960,2019-09-11,5,12세이상관람가,코미디,2019,9,7.6
91,93,20194045,극장판 반지의 비밀일기,68339,2019-09-11,4,전체관람가,애니메이션,2019,9,9.06
92,94,20184483,퍼펙트맨,1240022,2019-10-02,4,15세이상관람가,코미디,2019,10,7.96
93,95,20190385,웃는남자 감독판,12820,2019-11-29,1,전체관람가,공연,2019,11,9.5
94,96,20188462,감쪽같은 그녀,469015,2019-12-04,7,전체관람가,드라마,2019,12,7.61
95,97,20193601,장사리 : 잊혀진 영웅들,1140708,2019-09-25,3,12세이상관람가,전쟁,2019,9,8.37
96,98,20185161,나를 찾아줘,642367,2019-11-27,101,15세이상관람가,스릴러,2019,11,7.27
97,99,20176251,내안의 그놈,1917999,2019-01-09,1,15세이상관람가,판타지,2019,1,8.54
98,100,20184621,엑시트,9425492,2019-07-31,2,12세이상관람가,코미디,2019,7,8.38
99,101,20194621,아직 사랑하고 있습니까?,1216,2019-12-04,34,청소년관람불가,코미디,2019,12,7.67
100,102,20181434,신의 한 수: 귀수편,2155013,2019-11-07,10,15세이상관람가,범죄,2019,11,7.99
101,103,20184341,얼굴없는 보스,23451,2019-11-21,16,15세이상관람가,액션,2019,11,3.44
102,104,20199435,몬테크리스토,1661,2019-11-14,9,12세이상관람가,뮤지컬,2019,11,9.5
103,105,20184462,봉오동 전투,4784703,2019-08-07,2,15세이상관람가,사극,2019,8,7.84
104,106,20195920,가장 보통의 연애,2923009,2019-10-02,13,15세이상관람가,멜로/로맨스,2019,10,7.96
105,107,20140703,장수상회,1166729,2015-04-09,1,12세이상관람가,멜로/로맨스,2015,4,8.87
