,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat
38,20200846,부산행:익스텐디드,4.098,2,액션,청소년관람가,7,2020,3,35
39,20197863,침입자,531.969,20,미스터리,청소년관람가,6,2020,3,35
40,20170841,리틀 포레스트,1508.0629999999999,27,드라마,전체관람가,2,2018,1,33
41,20209021,런 보이 런,2.886,2,드라마,청소년관람가,5,2020,2,35
42,20198890,아이즈 온 미 : 더 무비,37.743,100,공연,전체관람가,6,2020,3,35
43,20209430,열혈형사,2.088,121,코미디,청소년관람가,6,2020,3,35
44,20207722,저 산 너머,103.412,6,드라마,청소년관람가,4,2020,2,35
46,20193836,핑크퐁 시네마 콘서트 : 우주대탐험,17.597,1,애니메이션,전체관람가,1,2020,1,35
48,20185881,증인,2534.853,1,드라마,청소년관람가,2,2019,1,34
50,20183782,기생충,10313.062,4,드라마,청소년관람가,5,2019,2,34
51,20180962,지푸라기라도 잡고 싶은 짐승들,627.247,6,스릴러,18세이상관람가,2,2020,1,35
52,20193321,정직한 후보,1536.652,3,코미디,청소년관람가,2,2020,1,35
58,20208595,얼굴없는 보스: 못다한 이야기 감독판,1.472,6,범죄,청소년관람가,5,2020,2,35
59,20182530,극한직업,16266.337,1,코미디,청소년관람가,1,2019,1,34
61,20208988,아르코라이브 의자 고치는 여인,0.084,6,공연,청소년관람가,5,2020,2,35
62,20188421,미스터 주: 사라진 VIP,604.143,3,코미디,청소년관람가,1,2020,1,35
63,20198323,레드슈즈,820.74,21,애니메이션,전체관람가,7,2019,3,34
64,20198183,뽀로로 극장판 보물섬 대모험,767.737,4,애니메이션,전체관람가,4,2019,2,34
65,20186501,극장판 헬로카봇 : 백악기 시대,880.7760000000003,4,애니메이션,전체관람가,8,2018,3,33
66,20208597,아르코라이브 무용 히트 앤 런,0.038,4,공연,전체관람가,5,2020,2,35
67,20193821,극장판 헬로카봇 : 달나라를 구해줘!,590.7080000000002,22,애니메이션,전체관람가,9,2019,4,34
68,20206305,아르코라이브 뮤지컬 안테모사,0.9079999999999999,13,공연,전체관람가,3,2020,2,35
69,20164844,불한당: 나쁜 놈들의 세상,963.2389999999999,1,범죄,18세이상관람가,5,2017,2,32
70,20182447,클로젯,1270.288,7,미스터리,청소년관람가,2,2020,1,35
71,20198414,시동,3318.429,4,드라마,청소년관람가,12,2019,1,34
72,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894.3560000000001,2,애니메이션,전체관람가,12,2019,1,34
73,20192206,백두산,8252.669,1,어드벤처,청소년관람가,12,2019,1,34
74,20192101,히트맨,2406.232,2,코미디,청소년관람가,1,2020,1,35
75,20192984,극장판 미니특공대: 공룡왕 디노 ,79.723,3,애니메이션,전체관람가,2,2020,1,35
76,20191422,공수도,2.795,13,액션,청소년관람가,4,2020,2,35
77,20183096,생일,1197.685,13,드라마,전체관람가,4,2019,2,34
78,20149314,내부자들,7073.543000000002,2,범죄,18세이상관람가,11,2015,4,30
80,20206424,사랑하고 있습니까,12.82,13,판타지,청소년관람가,3,2020,2,35
82,20180804,곤지암,2676.423,3,공포(호러),청소년관람가,3,2018,2,33
83,20185484,안나 카레니나,5.073,5,뮤지컬,청소년관람가,6,2018,3,33
84,20174981,창궐,1599.61,1,사극,청소년관람가,10,2018,4,33
85,20180939,남산의 부장들,4750.0779999999995,3,드라마,청소년관람가,1,2020,1,35
86,20183002,해치지않아,1224.546,6,코미디,청소년관람가,1,2020,1,35
87,20184571,천문: 하늘에 묻는다,2000.3929999999998,4,사극,청소년관람가,12,2019,1,34
88,20191029,82년생 김지영,3678.292,1,드라마,청소년관람가,10,2019,4,34
89,20195002,블랙머니,2479.464,5,범죄,청소년관람가,11,2019,4,34
90,20187322,"힘을 내요, 미스터 리",1181.96,5,코미디,청소년관람가,9,2019,4,34
91,20194045,극장판 반지의 비밀일기,68.339,4,애니메이션,전체관람가,9,2019,4,34
92,20184483,퍼펙트맨,1240.022,4,코미디,청소년관람가,10,2019,4,34
93,20190385,웃는남자 감독판,12.82,1,공연,전체관람가,11,2019,4,34
94,20188462,감쪽같은 그녀,469.015,7,드라마,전체관람가,12,2019,1,34
95,20193601,장사리 : 잊혀진 영웅들,1140.708,3,전쟁,청소년관람가,9,2019,4,34
96,20185161,나를 찾아줘,642.367,101,스릴러,청소년관람가,11,2019,4,34
97,20176251,내안의 그놈,1917.999,1,판타지,청소년관람가,1,2019,1,34
98,20184621,엑시트,9425.492,2,코미디,청소년관람가,7,2019,3,34
99,20194621,아직 사랑하고 있습니까?,1.216,34,코미디,18세이상관람가,12,2019,1,34
100,20181434,신의 한 수: 귀수편,2155.013,10,범죄,청소년관람가,11,2019,4,34
101,20184341,얼굴없는 보스,23.451,16,액션,청소년관람가,11,2019,4,34
102,20199435,몬테크리스토,1.661,9,뮤지컬,청소년관람가,11,2019,4,34
103,20184462,봉오동 전투,4784.7029999999995,2,사극,청소년관람가,8,2019,3,34
104,20195920,가장 보통의 연애,2923.009,13,멜로/로맨스,청소년관람가,10,2019,4,34
105,20140703,장수상회,1166.729,1,멜로/로맨스,청소년관람가,4,2015,2,30
106,20174142,아이 캔 스피크,3283.073,3,코미디,청소년관람가,9,2017,4,32
107,20188750,나쁜 녀석들: 더 무비,4573.353,3,범죄,청소년관람가,9,2019,4,34
108,20185361,두번할까요,175.567,7,코미디,청소년관람가,10,2019,4,34
109,20184105,말모이,2866.453,1,드라마,청소년관람가,1,2019,1,34
112,20186707,오늘도 위위,1.114,40,드라마,전체관람가,10,2019,4,34
113,20194456,양자물리학,552.187,33,범죄,청소년관람가,9,2019,4,34
114,20185784,나의 특별한 형제,1476.777,1,드라마,청소년관람가,5,2019,2,34
115,20184572,타짜: 원 아이드 잭,2227.5429999999997,69,범죄,18세이상관람가,9,2019,4,34
116,20184543,변신,1803.112,5,공포(호러),청소년관람가,8,2019,3,34
117,20182585,비스트,203.042,5,범죄,청소년관람가,6,2019,3,34
118,20181416,유열의 음악앨범,1240.975,105,멜로/로맨스,청소년관람가,8,2019,3,34
119,20185985,광대들: 풍문조작단,632.384,199,사극,청소년관람가,8,2019,3,34
121,20182490,나랏말싸미,954.88,3,사극,전체관람가,7,2019,3,34
122,20193642,캐리tv 러브콘서트 더 무비,29.090999999999998,22,공연,전체관람가,8,2019,3,34
123,20188404,암전,101.366,36,미스터리,청소년관람가,8,2019,3,34
124,20180442,사자,1602.046,213,미스터리,청소년관람가,7,2019,3,34
125,20194044,공포체험단 곤지암편,3.282,11,공포(호러),청소년관람가,7,2019,3,34
126,20185353,기방도령,284.283,5,코미디,청소년관람가,7,2019,3,34
127,20193013,극장판 샤이닝스타:새로운 루나퀸의 탄생!,15.703,6,애니메이션,전체관람가,7,2019,3,34
128,20185986,진범,166.838,38,스릴러,청소년관람가,7,2019,3,34
129,20198453,롱 리브 더 킹: 목포 영웅,1092.611,7,액션,청소년관람가,6,2019,3,34
130,20188941,악인전,3364.1,6,범죄,18세이상관람가,5,2019,2,34
132,20187981,배심원들,287.902,1,드라마,청소년관람가,5,2019,2,34
134,20180361,귀신의 향기,0.5429999999999999,17,공포(호러),청소년관람가,7,2019,3,34
135,20184082,걸캅스,1627.524,9,코미디,청소년관람가,5,2019,2,34
136,20199448,어린 의뢰인,199.375,6,드라마,청소년관람가,5,2019,2,34
137,20151229,더 킹,5317.959,1,범죄,청소년관람가,1,2017,1,32
138,20188144,0.0MHz,136.939,26,공포(호러),청소년관람가,5,2019,2,34
139,20191744,노리개: 그녀의 눈물,2.287,50,드라마,청소년관람가,6,2019,3,34
140,20198982,크게 될 놈,102.374,2,드라마,청소년관람가,4,2019,2,34
142,20180825,미성년,292.14,8,드라마,청소년관람가,4,2019,2,34
143,20175547,스윙키즈,1472.7020000000002,38,드라마,청소년관람가,12,2018,1,33
144,20182501,왓칭,55.083,6,공포(호러),청소년관람가,4,2019,2,34
145,20142406,탐정 홍길동: 사라진 마을,1430.96,1,드라마,청소년관람가,5,2016,2,31
147,20176103,돈,3388.756,20,범죄,청소년관람가,3,2019,2,34
148,20175407,우상,183.74400000000003,2,스릴러,청소년관람가,3,2019,2,34
149,20156564,부산행,11567.318000000001,14,액션,청소년관람가,7,2016,3,31
150,20177552,국가부도의 날,3755.133,1,드라마,청소년관람가,11,2018,4,33
151,20197846,악질경찰,260.98900000000003,13,범죄,18세이상관람가,3,2019,2,34
152,20166301,썬키스 패밀리,31.283,20,가족,청소년관람가,3,2019,2,34
153,20177539,사바하,2398.348,5,미스터리,청소년관람가,2,2019,1,34
154,20186324,언더독,193.83700000000002,4,애니메이션,전체관람가,1,2019,1,34
155,20176442,자전차왕 엄복동,168.88400000000001,68,드라마,청소년관람가,2,2019,1,34
156,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,574.302,12,애니메이션,전체관람가,1,2019,1,34
157,20174169,기묘한 가족,262.92,9,코미디,청소년관람가,2,2019,1,34
158,20186202,신과함께-인과 연,12276.115,2,판타지,청소년관람가,8,2018,3,33
160,20166602,그대 이름은 장미,86.838,2,코미디,청소년관람가,1,2019,1,34
161,20180868,뺑반,1826.154,9,범죄,청소년관람가,1,2019,1,34
163,20185124,러브 유어셀프 인 서울,342.366,48,공연,전체관람가,1,2019,1,34
164,20183915,극장판 공룡메카드: 타이니소어의 섬,408.82199999999995,17,애니메이션,전체관람가,1,2019,1,34
165,20170658,PMC: 더 벙커,1670.859,5,액션,청소년관람가,12,2018,1,33
166,20183785,점박이 한반도의 공룡2 : 새로운 낙원,548.661,10,애니메이션,전체관람가,12,2018,1,33
167,20184187,언니,197.21099999999998,94,액션,18세이상관람가,1,2019,1,34
168,20168773,마약왕,1863.283,10,범죄,18세이상관람가,12,2018,1,33
169,20179230,도어락,1560.352,5,스릴러,청소년관람가,12,2018,1,33
170,20177538,완벽한 타인,5292.7119999999995,29,드라마,청소년관람가,10,2018,4,33
171,20183745,런닝맨 : 풀룰루의 역습,186.06400000000002,36,애니메이션,전체관람가,12,2018,1,33
172,20183650,번개맨의 비밀,49.367,113,가족,전체관람가,12,2018,1,33
173,20184481,성난황소,1590.5910000000001,98,범죄,청소년관람가,11,2018,4,33
174,20184529,트와이스랜드,17.823,10,다큐멘터리,전체관람가,12,2018,1,33
175,20182981,리벤져,2.322,45,액션,청소년관람가,12,2018,1,33
176,20183050,번 더 스테이지: 더 무비,312.584,57,기타,전체관람가,11,2018,4,33
177,20181561,덕구,315.164,4,드라마,전체관람가,4,2018,2,33
178,20189869,해피 투게더,24.826999999999998,5,드라마,청소년관람가,11,2018,4,33
179,20173202,버닝,528.372,1,미스터리,18세이상관람가,5,2018,2,33
180,20170513,동네사람들,459.918,28,액션,청소년관람가,11,2018,4,33
181,20176122,안시성,5439.308000000001,1,사극,청소년관람가,9,2018,4,33
182,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,40.891999999999996,3,애니메이션,전체관람가,9,2018,4,33
183,20179006,여곡성,66.455,40,공포(호러),청소년관람가,11,2018,4,33
184,20189067,미쓰백,721.183,6,드라마,청소년관람가,10,2018,4,33
185,20179189,암수살인,3786.4120000000003,63,범죄,청소년관람가,10,2018,4,33
188,20177308,협상,1967.721,4,범죄,청소년관람가,9,2018,4,33
189,20172469,허스토리,335.54,2,드라마,청소년관람가,6,2018,3,33
191,20184678,배반의 장미,40.208,57,코미디,청소년관람가,10,2018,4,33
192,20179101,공작,4974.34,1,드라마,청소년관람가,8,2018,3,33
193,20172204,명당,2084.319,4,사극,청소년관람가,9,2018,4,33
194,20167903,원더풀 고스트,448.316,9,코미디,청소년관람가,9,2018,4,33
195,20153446,너의 결혼식,2820.486,7,멜로/로맨스,청소년관람가,8,2018,3,33
196,20177537,상류사회,767.5889999999997,5,드라마,18세이상관람가,8,2018,3,33
197,20156554,물괴,719.9680000000003,90,액션,청소년관람가,9,2018,4,33
198,20170670,목격자,2522.729,64,스릴러,청소년관람가,8,2018,3,33
199,20188501,미친도시,1.992,2,드라마,청소년관람가,8,2018,3,33
200,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,677.788,6,애니메이션,전체관람가,7,2018,3,33
201,20179383,독전,5063.62,1,범죄,청소년관람가,5,2018,2,33
202,20170942,인랑,897.255,5,SF,청소년관람가,7,2018,3,33
203,20185341,마녀,3188.969,1,미스터리,청소년관람가,6,2018,3,33
204,20178161,탐정: 리턴즈,3152.5679999999998,5,코미디,청소년관람가,6,2018,3,33
205,20174369,변산,489.619,3,드라마,청소년관람가,7,2018,3,33
206,20162442,청년경찰,5653.444,1,액션,청소년관람가,8,2017,3,32
207,20188042,독전: 익스텐디드 컷,136.885,53,범죄,청소년관람가,7,2018,3,33
208,20187682,해적왕 작스톰,4.434,63,애니메이션,전체관람가,7,2018,3,33
209,20180282,속닥속닥,217.326,10,공포(호러),청소년관람가,7,2018,3,33
210,20184101,여중생A,96.89299999999999,12,드라마,청소년관람가,6,2018,3,33
211,20170669,지금 만나러 갑니다,2601.857,15,멜로/로맨스,청소년관람가,3,2018,2,33
212,20159647,리얼,470.135,1,액션,18세이상관람가,6,2017,3,32
213,20186926,게이트-완결판,0.7709999999999999,5,범죄,청소년관람가,6,2018,3,33
214,20177005,레슬러,770.6310000000003,6,드라마,청소년관람가,5,2018,2,33
215,20189783,챔피언,1128.693,1,드라마,청소년관람가,5,2018,2,33
217,20181366,미니특공대X,99.971,1,애니메이션,전체관람가,3,2018,2,33
218,20173865,데자뷰,48.13399999999999,19,미스터리,청소년관람가,5,2018,2,33
219,20162869,택시운전사,12189.025,2,드라마,청소년관람가,8,2017,3,32
220,20151230,원라인,435.09,1,범죄,청소년관람가,3,2017,2,32
221,20177266,나를 기억해,140.7,2,미스터리,18세이상관람가,4,2018,2,33
222,20174602,노무현입니다,1855.489,1,다큐멘터리,청소년관람가,5,2017,2,32
223,20182221,스파키,35.43199999999999,1,애니메이션,전체관람가,4,2018,2,33
224,20153447,바람 바람 바람,1194.157,6,코미디,18세이상관람가,4,2018,2,33
225,20182021,번개맨과 신비의 섬,60.535,9,가족,전체관람가,4,2018,2,33
226,20175046,파파 오랑후탄,1.4469999999999998,3,다큐멘터리,청소년관람가,4,2018,2,33
227,20165045,머니백,53.51600000000001,5,액션,청소년관람가,4,2018,2,33
228,20150976,신과함께-죄와 벌,14410.753999999999,1,판타지,청소년관람가,12,2017,1,32
229,20154908,7년의 밤,526.88,12,스릴러,청소년관람가,3,2018,2,33
230,20168323,염력,990.102,18,드라마,청소년관람가,1,2018,1,33
231,20150969,궁합,1339.68,1,코미디,청소년관람가,2,2018,1,33
232,20178781,사라진 밤,1314.308,126,스릴러,청소년관람가,3,2018,2,33
233,20172244,치즈인더트랩,228.41299999999998,62,멜로/로맨스,청소년관람가,3,2018,2,33
234,20189525,젝스키스 에이틴,50.038000000000004,3,다큐멘터리,전체관람가,1,2018,1,33
235,20189663,게이트,99.73100000000001,20,범죄,청소년관람가,2,2018,1,33
236,20168250,골든슬럼버,1386.882,13,범죄,청소년관람가,2,2018,1,33
237,20177473,비밥바룰라,45.778999999999996,1,코미디,청소년관람가,1,2018,1,33
238,20176121,흥부: 글로 세상을 바꾼 자,416.13699999999994,7,사극,청소년관람가,2,2018,1,33
239,20179205,조선명탐정: 흡혈괴마의 비밀,2443.282,8,사극,청소년관람가,2,2018,1,33
240,20181741,예스 평창!,0.595,1,다큐멘터리,전체관람가,3,2018,2,33
241,20176104,그것만이 내 세상,3415.953,4,코미디,청소년관람가,1,2018,1,33
242,20170590,1987,7229.281,62,드라마,청소년관람가,12,2017,1,32
243,20189761,터닝메카드W: 반다인의 비밀 특별판,21.22,30,애니메이션,전체관람가,2,2018,1,33
244,20174846,뽀로로 극장판 공룡섬 대모험,826.003,2,애니메이션,전체관람가,12,2017,1,32
245,20168161,1급기밀,217.956,20,드라마,청소년관람가,1,2018,1,33
246,20161681,미옥,239.987,3,범죄,18세이상관람가,11,2017,4,32
247,20170402,강철비,4449.854,37,액션,청소년관람가,12,2017,1,32
248,20175830,돌아와요 부산항애(愛),5.824,82,범죄,청소년관람가,1,2018,1,33
249,20172742,범죄도시,6880.351,10,범죄,18세이상관람가,10,2017,4,32
250,20173581,기억의 밤,1387.499,6,미스터리,청소년관람가,11,2017,4,32
252,20176769,광인옥한흠,2.681,5,다큐멘터리,전체관람가,12,2017,1,32
253,20165748,꾼,4018.035,5,범죄,청소년관람가,11,2017,4,32
254,20175441,채비,177.428,1,드라마,청소년관람가,11,2017,4,32
256,20161762,반드시 잡는다,446.764,3,스릴러,청소년관람가,11,2017,4,32
257,20168754,7호실,346.986,5,코미디,청소년관람가,11,2017,4,32
258,20172603,부라더,1492.049,8,코미디,청소년관람가,11,2017,4,32
259,20175208,뷰티풀 투모로우,62.65,1,드라마,청소년관람가,10,2017,4,32
260,20173903,역모-반란의 시대,21.656999999999996,355,사극,청소년관람가,11,2017,4,32
261,20171817,넛잡 2,410.569,5,애니메이션,전체관람가,10,2017,4,32
262,20169643,침묵,493.673,8,드라마,청소년관람가,11,2017,4,32
263,20165450,남한산성,3846.7690000000002,20,사극,청소년관람가,10,2017,4,32
264,20171885,노트르담 드 파리,4.974,33,뮤지컬,전체관람가,11,2017,4,32
265,20164424,대장 김창수,377.07099999999997,51,드라마,청소년관람가,10,2017,4,32
266,20154907,희생부활자,322.207,19,미스터리,청소년관람가,10,2017,4,32
267,20154909,살인자의 기억법,2657.5570000000002,20,범죄,청소년관람가,9,2017,4,32
268,20151227,아빠는 딸,647.305,2,코미디,청소년관람가,4,2017,2,32
269,20150964,조작된 도시,2515.315,1,범죄,청소년관람가,2,2017,1,32
270,20151003,장산범,1306.387,5,미스터리,청소년관람가,8,2017,3,32
271,20172964,이웃집 스타,10.747,1,코미디,청소년관람가,9,2017,4,32
272,20164174,브이아이피,1373.2979999999998,2,범죄,18세이상관람가,8,2017,3,32
273,20161481,군함도,6591.193,6,액션,청소년관람가,7,2017,3,32
274,20179407,로마의 휴일,134.577,5,코미디,청소년관람가,8,2017,3,32
276,20173826,구세주: 리턴즈,4.052,121,코미디,청소년관람가,9,2017,4,32
278,20165042,빅뱅 메이드,56.2,1,다큐멘터리,청소년관람가,6,2016,3,31
281,20162343,악녀,1207.119,40,액션,18세이상관람가,6,2017,3,32
283,20166384,하루,1129.233,4,스릴러,청소년관람가,6,2017,3,32
284,20169348,대립군,837.31,3,드라마,청소년관람가,5,2017,2,32
285,20162722,보안관,2587.6479999999997,2,범죄,청소년관람가,5,2017,2,32
287,20175581,파워배틀 와치카: 와치가면의 역습,23.136,2,애니메이션,전체관람가,6,2017,3,32
288,20177223,청춘 합창단 - 또 하나의 꿈,5.041,38,다큐멘터리,전체관람가,6,2017,3,32
289,20156708,석조저택 살인사건,351.342,7,스릴러,청소년관람가,5,2017,2,32
290,20162871,특별시민,1362.434,6,드라마,청소년관람가,4,2017,2,32
291,20161726,임금님의 사건수첩,1634.0379999999998,5,코미디,청소년관람가,4,2017,2,32
292,20144444,아가씨,4288.53,1,스릴러,18세이상관람가,6,2016,3,31
294,20173061,슈퍼 빼꼼: 스파이 대작전,98.02,10,애니메이션,전체관람가,5,2017,2,32
295,20174165,극장판 또봇: 로봇군단의 습격,141.57299999999995,4,애니메이션,전체관람가,4,2017,2,32
296,20162181,프리즌,2931.897,5,범죄,18세이상관람가,3,2017,2,32
298,20167901,어느날,234.58599999999998,5,멜로/로맨스,청소년관람가,4,2017,2,32
300,20161923,시간위의 집,128.764,14,미스터리,청소년관람가,4,2017,2,32
301,20166421,재심,2420.9770000000008,2,드라마,청소년관람가,2,2017,1,32
303,20150971,해빙,1204.384,4,스릴러,청소년관람가,3,2017,2,32
304,20162381,일사각오,94.825,1,드라마,청소년관람가,3,2016,2,31
305,20159657,최강전사 미니특공대: 영웅의 탄생,117.291,1,애니메이션,전체관람가,2,2016,1,31
306,20167902,보통사람,382.202,50,드라마,청소년관람가,3,2017,2,32
307,20161723,싱글라이더,351.276,1,드라마,청소년관람가,2,2017,1,32
308,20172401,왕을 참하라,4.188,1,드라마,18세이상관람가,3,2017,2,32
309,20167905,비정규직 특수요원,146.80200000000005,102,코미디,청소년관람가,3,2017,2,32
310,20168668,레이디버그,40.989,17,애니메이션,전체관람가,2,2017,1,32
311,20144641,판도라,4583.645,1,드라마,청소년관람가,12,2016,1,31
312,20156562,루시드 드림,102.04700000000001,2,SF,청소년관람가,2,2017,1,32
314,20151228,공조,7816.521,34,액션,청소년관람가,1,2017,1,32
315,20161366,"그래, 가족",46.378,5,코미디,청소년관람가,2,2017,1,32
318,20161725,마스터,7150.142,5,액션,청소년관람가,12,2016,1,31
319,20145503,검은 사제들,5442.915,1,미스터리,청소년관람가,11,2015,4,30
320,20150966,사랑하기 때문에,340.76599999999996,4,코미디,청소년관람가,1,2017,1,32
321,20152371,"당신, 거기 있어줄래요",1168.597,5,판타지,청소년관람가,12,2016,1,31
323,20154661,형,2980.397,1,코미디,청소년관람가,11,2016,4,31
324,20155223,목숨 건 연애,47.805,6,멜로/로맨스,청소년관람가,12,2016,1,31
325,20153741,미씽: 사라진 여자,1153.109,1,미스터리,청소년관람가,11,2016,4,31
327,20154905,가려진 시간,510.728,5,드라마,청소년관람가,11,2016,4,31
328,20140704,비밀은 없다,250.829,1,스릴러,18세이상관람가,6,2016,3,31
330,20150979,덕혜옹주,5599.229,2,사극,청소년관람가,8,2016,3,31
331,20151022,걷기왕,95.39299999999999,1,드라마,청소년관람가,10,2016,4,31
332,20160472,두 남자,59.788000000000004,23,범죄,18세이상관람가,11,2016,4,31
333,20153444,럭키,6974.991,1,코미디,청소년관람가,10,2016,4,31
334,20163521,스플릿,757.863,4,드라마,청소년관람가,11,2016,4,31
335,20156250,인천상륙작전,7049.5369999999975,1,전쟁,청소년관람가,7,2016,3,31
336,20153443,아수라,2594.028,2,범죄,18세이상관람가,9,2016,4,31
339,20163107,아더왕의 전설,0.847,2,공연,전체관람가,11,2016,4,31
340,20150564,혼숨,286.147,73,공포(호러),청소년관람가,10,2016,4,31
341,20150566,극장판 꼬마버스 타요의 에이스 구출작전,134.658,4,애니메이션,전체관람가,1,2016,1,31
342,20166541,달빛궁궐,152.634,4,애니메이션,전체관람가,9,2016,4,31
344,20159646,밀정,7499.738,3,액션,청소년관람가,9,2016,4,31
345,20159648,"고산자, 대동여지도",973.951,1,사극,전체관람가,9,2016,4,31
346,20162704,극장판 안녕 자두야,280.197,1,애니메이션,전체관람가,5,2016,2,31
347,20162022,대결,32.278,2,액션,청소년관람가,9,2016,4,31
348,20160041,인천상륙작전 : 익스텐디드 에디션(확장판),26.95,2,전쟁,청소년관람가,9,2016,4,31
349,20154910,터널,7120.241,17,드라마,청소년관람가,8,2016,3,31
350,20150968,국가대표 2,709.24,1,드라마,청소년관람가,8,2016,3,31
352,20161961,나는 증인이다,0.557,2,미스터리,청소년관람가,9,2016,4,31
353,20150901,올레,66.127,60,드라마,청소년관람가,8,2016,3,31
355,20152105,"시발, 놈: 인류의 시작",0.965,7,코미디,청소년관람가,8,2016,3,31
356,20159644,봉이 김선달,2049.396,5,사극,청소년관람가,7,2016,3,31
357,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,445.36,1,애니메이션,전체관람가,12,2015,1,30
358,20156559,계춘할망,482.259,3,가족,청소년관람가,5,2016,2,31
360,20150972,굿바이 싱글,2103.766,129,코미디,청소년관람가,6,2016,3,31
362,20140194,곡성,6879.769,7,미스터리,청소년관람가,5,2016,2,31
363,20158982,트릭,37.76300000000001,5,스릴러,청소년관람가,7,2016,3,31
364,20154906,사냥,645.58,27,액션,청소년관람가,6,2016,3,31
366,20159645,특별수사: 사형수의 편지,1237.897,138,범죄,청소년관람가,6,2016,3,31
367,20158483,오빠생각,1069.864,1,드라마,청소년관람가,1,2016,1,31
369,20158242,무서운 이야기 3 : 화성에서 온 소녀,96.662,88,공포(호러),청소년관람가,6,2016,3,31
370,20162431,극장판 프랭키와 친구들: 생명의 나무,55.56800000000001,15,애니메이션,전체관람가,4,2016,2,31
371,20161364,귀향,3586.442,1,드라마,청소년관람가,2,2016,1,31
372,20143509,엽기적인 그녀 2,74.581,16,멜로/로맨스,청소년관람가,5,2016,2,31
373,20145506,해어화,484.735,3,사극,청소년관람가,4,2016,2,31
374,20159641,위대한 소원,307.332,17,코미디,청소년관람가,4,2016,2,31
375,20142621,시간이탈자,1202.05,21,스릴러,청소년관람가,4,2016,2,31
376,20152782,"날, 보러와요",1062.288,31,미스터리,18세이상관람가,4,2016,2,31
378,20136068,히말라야,7759.635,1,드라마,청소년관람가,12,2015,1,30
379,20150902,대배우,165.40099999999995,188,코미디,청소년관람가,3,2016,2,31
382,20145396,널 기다리며,633.2080000000002,48,스릴러,18세이상관람가,3,2016,2,31
