,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,Top10배우,Age_Rate
69,69,20164844,불한당: 나쁜 놈들의 세상,963.239,1,범죄,18세이상관람가,5,2017,2,32,5.87,1,0
70,70,20182447,클로젯,1270.288,7,미스터리,청소년관람가,2,2020,1,35,7.04,1,2
71,71,20198414,시동,3318.429,4,드라마,청소년관람가,12,2019,1,34,7.86,1,2
72,72,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,894.3560000000001,2,애니메이션,전체관람가,12,2019,1,34,8.51,0,1
73,73,20192206,백두산,8252.669,1,어드벤처,청소년관람가,12,2019,1,34,5.87,1,2
74,74,20192101,히트맨,2406.232,2,코미디,청소년관람가,1,2020,1,35,7.18,0,2
75,75,20192984,극장판 미니특공대: 공룡왕 디노 ,79.723,3,애니메이션,전체관람가,2,2020,1,35,8.85,0,1
76,76,20191422,공수도,2.795,13,액션,청소년관람가,4,2020,2,35,8.81,0,2
77,77,20183096,생일,1197.685,13,드라마,전체관람가,4,2019,2,34,7.07,0,1
78,78,20149314,내부자들,7073.5430000000015,2,범죄,18세이상관람가,11,2015,4,30,9.02,1,0
80,80,20206424,사랑하고 있습니까,12.82,13,판타지,청소년관람가,3,2020,2,35,4.83,0,2
82,82,20180804,곤지암,2676.423,3,공포(호러),청소년관람가,3,2018,2,33,6.77,0,2
83,83,20185484,안나 카레니나,5.073,5,뮤지컬,청소년관람가,6,2018,3,33,8.5,0,2
84,84,20174981,창궐,1599.61,1,사극,청소년관람가,10,2018,4,33,5.49,1,2
85,85,20180939,남산의 부장들,4750.078,3,드라마,청소년관람가,1,2020,1,35,7.41,0,2
86,86,20183002,해치지않아,1224.546,6,코미디,청소년관람가,1,2020,1,35,6.38,0,2
87,87,20184571,천문: 하늘에 묻는다,2000.393,4,사극,청소년관람가,12,2019,1,34,8.83,0,2
88,88,20191029,82년생 김지영,3678.292,1,드라마,청소년관람가,10,2019,4,34,6.63,0,2
89,89,20195002,블랙머니,2479.464,5,범죄,청소년관람가,11,2019,4,34,8.52,1,2
